,State Name,county Name,County Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,Year,Month,Day,Month_Day,Five-Year Avg.
209,Alabama,Russell,113,2020-01-05,15,Good,PM2.5,1,2020,1,5,01-05,32.417910447761194
210,Alabama,Russell,113,2020-01-06,53,Moderate,PM2.5,1,2020,1,6,01-06,30.943661971830984
211,Alabama,Russell,113,2020-01-07,24,Good,PM2.5,1,2020,1,7,01-07,32.13235294117647
212,Alabama,Russell,113,2020-01-08,35,Good,PM2.5,1,2020,1,8,01-08,31.558823529411764
213,Alabama,Russell,113,2020-01-09,56,Moderate,PM2.5,1,2020,1,9,01-09,29.25
214,Alabama,Russell,113,2020-01-10,40,Good,PM2.5,1,2020,1,10,01-10,30.194444444444443
215,Alabama,Russell,113,2020-01-11,21,Good,PM2.5,1,2020,1,11,01-11,32.5
216,Alabama,Russell,113,2020-01-12,17,Good,PM2.5,1,2020,1,12,01-12,32.647887323943664
217,Alabama,Russell,113,2020-01-13,18,Good,PM2.5,1,2020,1,13,01-13,32.43835616438356
218,Alabama,Russell,113,2020-01-14,8,Good,PM2.5,1,2020,1,14,01-14,35.41428571428571
219,Alabama,Russell,113,2020-01-15,20,Good,PM2.5,1,2020,1,15,01-15,37.083333333333336
220,Alabama,Russell,113,2020-01-16,14,Good,PM2.5,1,2020,1,16,01-16,36.082191780821915
221,Alabama,Russell,113,2020-01-17,13,Good,PM2.5,1,2020,1,17,01-17,34.58571428571429
222,Alabama,Russell,113,2020-01-18,25,Good,PM2.5,1,2020,1,18,01-18,31.61111111111111
223,Alabama,Russell,113,2020-01-19,10,Good,PM2.5,1,2020,1,19,01-19,31.753424657534246
224,Alabama,Russell,113,2020-01-20,25,Good,PM2.5,1,2020,1,20,01-20,32.214285714285715
225,Alabama,Russell,113,2020-01-21,25,Good,PM2.5,1,2020,1,21,01-21,33.97142857142857
226,Alabama,Russell,113,2020-01-22,32,Good,PM2.5,1,2020,1,22,01-22,31.945945945945947
227,Alabama,Russell,113,2020-01-23,33,Good,PM2.5,1,2020,1,23,01-23,30.869565217391305
228,Alabama,Russell,113,2020-01-24,28,Good,PM2.5,1,2020,1,24,01-24,32.84507042253521
229,Alabama,Russell,113,2020-01-25,20,Good,PM2.5,1,2020,1,25,01-25,32.708333333333336
230,Alabama,Russell,113,2020-01-26,38,Good,PM2.5,1,2020,1,26,01-26,32.710144927536234
231,Alabama,Russell,113,2020-01-27,26,Good,PM2.5,1,2020,1,27,01-27,34.53521126760563
232,Alabama,Russell,113,2020-01-28,35,Good,PM2.5,1,2020,1,28,01-28,35.3013698630137
233,Alabama,Russell,113,2020-01-29,37,Good,PM2.5,1,2020,1,29,01-29,32.46376811594203
234,Alabama,Russell,113,2020-01-30,42,Good,PM2.5,1,2020,1,30,01-30,29.257142857142856
235,Alabama,Russell,113,2020-01-31,23,Good,PM2.5,1,2020,1,31,01-31,34.5
